Time,Ping,Download,Upload,Tries
"12/06/21 11:06:24 PM",37.816,155.93,5.59,1
"12/06/21 11:06:12 PM",0,0,0,5
"12/06/21 11:06:23 PM",36.126,167.31,6.04,1
"13/06/21 12:06:13 AM",0,0,0,5
"13/06/21 12:06:24 AM",39.776,161.94,6.13,1
"13/06/21 12:06:12 AM",0,0,0,5
"13/06/21 12:06:24 AM",40.859,156.36,6.01,1
"13/06/21 1:06:11 AM",0,0,0,5
"13/06/21 1:06:24 AM",33.721,141.05,6.02,1
"13/06/21 1:06:11 AM",0,0,0,5
"13/06/21 1:06:25 AM",33.361,161.92,5.88,1
"13/06/21 2:06:11 AM",0,0,0,5
"13/06/21 2:06:24 AM",31.801,140.78,6.04,1
"13/06/21 2:06:12 AM",0,0,0,5
"13/06/21 2:06:24 AM",33.668,68.01,5.46,1
"13/06/21 3:06:12 AM",0,0,0,5
"13/06/21 3:06:23 AM",52.819,34.84,5.98,1
"13/06/21 3:06:12 AM",0,0,0,5
"13/06/21 3:06:25 AM",32.752,10.79,5.95,1
"13/06/21 4:06:48 AM",61.641,6.74,2.9,1
"13/06/21 4:06:26 AM",39.761,10.55,5.28,1
"13/06/21 4:06:14 AM",0,0,0,5
"13/06/21 4:06:24 AM",38.662,13.38,5.93,1
"13/06/21 5:06:13 AM",0,0,0,5
"13/06/21 5:06:24 AM",37.72,21.89,6.16,1
"13/06/21 5:06:14 AM",0,0,0,5
"13/06/21 5:06:24 AM",43.021,22.6,6.16,1
"13/06/21 6:06:12 AM",0,0,0,5
"13/06/21 6:06:24 AM",38.296,17.95,5.88,1
"13/06/21 6:06:12 AM",0,0,0,5
"13/06/21 6:06:26 AM",34.434,6.11,5.74,1
"13/06/21 7:06:14 AM",0,0,0,5
"13/06/21 7:06:25 AM",63.583,5.92,5.79,1
"13/06/21 7:06:11 AM",0,0,0,5
"13/06/21 7:06:24 AM",35.578,154.09,6.04,1
"13/06/21 8:06:12 AM",0,0,0,5
"13/06/21 8:06:24 AM",31.51,147.23,5.97,1
"13/06/21 8:06:12 AM",0,0,0,5
"13/06/21 8:06:24 AM",34.125,179.79,6.19,1
"13/06/21 9:06:12 AM",0,0,0,5
"13/06/21 9:06:24 AM",37.727,184.35,6.14,1
"13/06/21 9:06:11 AM",0,0,0,5
"13/06/21 9:06:24 AM",35.201,176.74,6.22,1
"13/06/21 10:06:10 AM",0,0,0,5
"13/06/21 10:06:24 AM",40.138,162.58,6.01,1
"13/06/21 10:06:12 AM",0,0,0,5
"13/06/21 10:06:24 AM",42.397,7.82,5.98,1
"13/06/21 11:06:11 AM",0,0,0,5
"13/06/21 11:06:24 AM",28.092,98.51,5.96,1
"13/06/21 11:06:14 AM",0,0,0,5
"13/06/21 11:06:23 AM",27.786,168.57,6.02,1
"13/06/21 12:06:12 PM",0,0,0,5
"13/06/21 12:06:24 PM",29.485,152.97,6.03,1
"13/06/21 12:06:53 PM",42.398,3.07,2.27,3
"13/06/21 12:06:32 PM",32.621,1.7,6.01,1
"13/06/21 1:06:11 PM",0,0,0,5
"13/06/21 1:06:24 PM",28.96,120.94,5.98,1
"13/06/21 1:06:39 PM",40.693,10.53,5.93,3
"13/06/21 1:06:28 PM",33.928,7.15,5.96,1
"13/06/21 2:06:12 PM",0,0,0,5
"13/06/21 2:06:27 PM",36.672,40.64,5.71,1
"13/06/21 2:06:12 PM",0,0,0,5
"13/06/21 2:06:23 PM",28.52,49.49,6.06,1
"13/06/21 3:06:14 PM",0,0,0,5
"13/06/21 3:06:25 PM",32.111,27.24,6.07,1
"13/06/21 3:06:12 PM",0,0,0,5
"13/06/21 3:06:24 PM",28.862,26.05,5.91,1
"13/06/21 4:06:12 PM",0,0,0,5
"13/06/21 4:06:42 PM",52.221,13.25,6.15,1
"13/06/21 4:06:36 PM",35.717,28.19,5.97,5
"13/06/21 4:06:23 PM",32.386,32.68,6.16,1
"13/06/21 5:06:11 PM",0,0,0,5
"13/06/21 5:06:24 PM",28.348,32.4,6.05,1
"13/06/21 5:06:10 PM",0,0,0,5
"13/06/21 5:06:24 PM",30.61,28.31,5.98,1
"13/06/21 6:06:10 PM",0,0,0,5
"13/06/21 6:06:23 PM",44.957,32.25,6.04,1
"13/06/21 6:06:10 PM",0,0,0,5
"13/06/21 6:06:24 PM",30.932,32.21,6.04,1
"13/06/21 7:06:11 PM",0,0,0,5
"13/06/21 7:06:24 PM",33.288,32.26,5.98,1
"13/06/21 7:06:12 PM",0,0,0,5
"13/06/21 7:06:24 PM",54.189,32.61,6.07,1
"13/06/21 8:06:11 PM",0,0,0,5
"13/06/21 8:06:24 PM",51.613,32.65,6.19,1
"13/06/21 8:06:11 PM",0,0,0,5
"13/06/21 8:06:24 PM",39.945,31.99,6.03,1
"13/06/21 9:06:11 PM",0,0,0,5
"13/06/21 9:06:24 PM",58.527,27.87,6.1,1
"13/06/21 9:06:12 PM",0,0,0,5
"13/06/21 9:06:24 PM",38.504,26.55,5.87,1
"13/06/21 10:06:11 PM",0,0,0,5
"13/06/21 10:06:25 PM",50.923,29.5,5.95,1
"13/06/21 10:06:11 PM",0,0,0,5
"13/06/21 10:06:24 PM",38.804,32.05,5.86,1
"13/06/21 11:06:11 PM",0,0,0,5
"13/06/21 11:06:24 PM",35.869,29.74,6.05,1
"13/06/21 11:06:11 PM",0,0,0,5
"13/06/21 11:06:23 PM",33.976,32.6,6.17,1
"14/06/21 12:06:12 AM",0,0,0,5
"14/06/21 12:06:24 AM",29.62,32.65,5.94,1
"14/06/21 12:06:11 AM",0,0,0,5
"14/06/21 12:06:24 AM",33.771,32.81,6.14,1
"14/06/21 1:06:11 AM",0,0,0,5
"14/06/21 1:06:23 AM",27.097,32.05,5.99,1
"14/06/21 1:06:11 AM",0,0,0,5
"14/06/21 1:06:24 AM",31.574,31.33,6.03,1
"14/06/21 2:06:11 AM",0,0,0,5
"14/06/21 2:06:24 AM",28.472,32.7,5.95,1
"14/06/21 2:06:11 AM",0,0,0,5
"14/06/21 2:06:24 AM",38.629,160.24,6.02,1
"14/06/21 3:06:11 AM",0,0,0,5
"14/06/21 3:06:24 AM",29.651,8.58,5.95,1
"14/06/21 3:06:12 AM",0,0,0,5
"14/06/21 3:06:24 AM",40.226,32.71,4.14,1
"14/06/21 4:06:11 AM",0,0,0,5
"14/06/21 4:06:24 AM",29.632,32.74,6.24,1
"14/06/21 4:06:11 AM",0,0,0,5
"14/06/21 4:06:24 AM",28.237,16.43,6,1
"14/06/21 5:06:37 AM",32.757,18.85,5.97,5
